"gene","proteinSearched","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","EnsemblID","EntrezID"
"AMMECR1","col4a5","The exact function of this gene is not known, however, submicroscopic deletion of the X chromosome including this gene, COL4A5, and FACL4 genes, result in a contiguous gene deletion syndrome, the AMME complex (Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]","                                            AMMECR1 (AMMECR Nuclear Protein 1) is a Protein Coding gene.                                            Diseases associated with AMMECR1 include Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis and Amme Complex.                                                                                                                                    An important paralog of this gene is AMMECR1L.","no summary","ENSG00000101935",9949
"ANKH","calcium","This gene encodes a multipass transmembrane protein that is expressed in joints and other tissues and controls pyrophosphate levels in cultured cells. Progressive ankylosis-mediated control of pyrophosphate levels has been suggested as a possible mechanism regulating tissue calcification and susceptibility to arthritis in higher animals. Mutations in this gene have been associated with autosomal dominant craniometaphyseal dysplasia. [provided by RefSeq, Jul 2008]","                                            ANKH (ANKH Inorganic Pyrophosphate Transport Regulator) is a Protein Coding gene.                                            Diseases associated with ANKH include Craniometaphyseal Dysplasia, Autosomal Dominant and Chondrocalcinosis 2.                                            Among its related pathways are Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds and Miscellaneous transport and binding events.                                            Gene Ontology (GO) annotations related to this gene include inorganic phosphate transmembrane transporter activity and inorganic diphosphate transmembrane transporter activity.                                            ","Regulates intra- and extracellular levels of inorganic pyrophosphate (PPi), probably functioning as PPi transporter.
                         ANKH_HUMAN,Q9HCJ1
                         ","ENSG00000154122",56172
"APOA1","fish-oil","This gene encodes apolipoprotein A-I, which is the major protein component of high density lipoprotein (HDL) in plasma. The encoded preproprotein is proteolytically processed to generate the mature protein, which promotes cholesterol efflux from tissues to the liver for excretion, and is a cofactor for lecithin cholesterolacyltransferase (LCAT), an enzyme responsible for the formation of most plasma cholesteryl esters. This gene is closely linked with two other apolipoprotein genes on chromosome 11. Defects in this gene are associated with HDL deficiencies, including Tangier disease, and with systemic non-neuropathic amyloidosis. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein. [provided by RefSeq, Dec 2015]","                                            APOA1 (Apolipoprotein A1) is a Protein Coding gene.                                            Diseases associated with APOA1 include Hypoalphalipoproteinemia, Primary, 2 and Amyloidosis, Familial Visceral.                                            Among its related pathways are Lipoprotein metabolism and Folate Metabolism.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and lipid binding.                                            An important paralog of this gene is APOA4.","Participates in the reverse transport of cholesterol from tissues to the liver for excretion by promoting cholesterol efflux from tissues and by acting as a cofactor for the lecithin cholesterol acyltransferase (LCAT). As part of the SPAP complex, activates spermatozoa motility.
                         APOA1_HUMAN,P02647
                         ","ENSG00000118137",335
"APOB","fish-oil","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Dec 2019]","                                            APOB (Apolipoprotein B) is a Protein Coding gene.                                            Diseases associated with APOB include Hypobetalipoproteinemia, Familial, 1 and Hypercholesterolemia, Familial, 2.                                            Among its related pathways are Activated TLR4 signalling and Lipoprotein metabolism.                                            Gene Ontology (GO) annotations related to this gene include binding and heparin binding.                                            ","Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B-100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor.
                         APOB_HUMAN,P04114
                         ","ENSG00000084674",338
"APOB","fat","This gene product is the main apolipoprotein of chylomicrons and low density lipoproteins (LDL), and is the ligand for the LDL receptor. It occurs in plasma as two main isoforms, apoB-48 and apoB-100: the former is synthesized exclusively in the gut and the latter in the liver. The intestinal and the hepatic forms of apoB are encoded by a single gene from a single, very long mRNA. The two isoforms share a common N-terminal sequence. The shorter apoB-48 protein is produced after RNA editing of the apoB-100 transcript at residue 2180 (CAA->UAA), resulting in the creation of a stop codon, and early translation termination. Mutations in this gene or its regulatory region cause hypobetalipoproteinemia, normotriglyceridemic hypobetalipoproteinemia, and hypercholesterolemia due to ligand-defective apoB, diseases affecting plasma cholesterol and apoB levels. [provided by RefSeq, Dec 2019]","                                            APOB (Apolipoprotein B) is a Protein Coding gene.                                            Diseases associated with APOB include Hypobetalipoproteinemia, Familial, 1 and Hypercholesterolemia, Familial, 2.                                            Among its related pathways are Activated TLR4 signalling and Lipoprotein metabolism.                                            Gene Ontology (GO) annotations related to this gene include binding and heparin binding.                                            ","Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B-100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor.
                         APOB_HUMAN,P04114
                         ","ENSG00000084674",338
"AR","reproductive","The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]","                                            AR (Androgen Receptor) is a Protein Coding gene.                                            Diseases associated with AR include Androgen Insensitivity, Partial and Spinal And Bulbar Muscular Atrophy, X-Linked 1.                                            Among its related pathways are Regulation of Wnt-mediated beta catenin signaling and target gene transcription and Signal transduction_PKA signaling.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is NR3C2.","Steroid hormone receptors are ligand-activated transcription factors that regulate eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Transcription factor activity is modulated by bound coactivator and corepressor proteins like ZBTB7A that recruits NCOR1 and NCOR2 to the androgen response elements/ARE on target genes, negatively regulating androgen receptor signaling and androgen-induced cell proliferation (PubMed:20812024). Transcription activation is also down-regulated by NR0B2. Activated, but not phosphorylated, by HIPK3 and ZIPK/DAPK3.
                         ANDR_HUMAN,P10275
                         ","ENSG00000169083",367
"AR","transcription","The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]","                                            AR (Androgen Receptor) is a Protein Coding gene.                                            Diseases associated with AR include Androgen Insensitivity, Partial and Spinal And Bulbar Muscular Atrophy, X-Linked 1.                                            Among its related pathways are Regulation of Wnt-mediated beta catenin signaling and target gene transcription and Signal transduction_PKA signaling.                                            Gene Ontology (GO) annotations related to this gene include DNA-binding transcription factor activity and chromatin binding.                                            An important paralog of this gene is NR3C2.","Steroid hormone receptors are ligand-activated transcription factors that regulate eukaryotic gene expression and affect cellular proliferation and differentiation in target tissues. Transcription factor activity is modulated by bound coactivator and corepressor proteins like ZBTB7A that recruits NCOR1 and NCOR2 to the androgen response elements/ARE on target genes, negatively regulating androgen receptor signaling and androgen-induced cell proliferation (PubMed:20812024). Transcription activation is also down-regulated by NR0B2. Activated, but not phosphorylated, by HIPK3 and ZIPK/DAPK3.
                         ANDR_HUMAN,P10275
                         ","ENSG00000169083",367
"ARSB","sulfate","Arylsulfatase B encoded by this gene belongs to the sulfatase family. The arylsulfatase B homodimer hydrolyzes sulfate groups of N-Acetyl-D-galactosamine, chondriotin sulfate, and dermatan sulfate. The protein is targeted to the lysozyme. Mucopolysaccharidosis type VI is an autosomal recessive lysosomal storage disorder resulting from a deficiency of arylsulfatase B. Two alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Dec 2016]","                                            ARSB (Arylsulfatase B) is a Protein Coding gene.                                            Diseases associated with ARSB include Mucopolysaccharidosis, Type Vi and Mucopolysaccharidosis Type 6, Slowly Progressing.                                            Among its related pathways are Lysosome and Chondroitin sulfate/dermatan sulfate metabolism.                                            Gene Ontology (GO) annotations related to this gene include sulfuric ester hydrolase activity and N-acetylgalactosamine-4-sulfatase activity.                                            An important paralog of this gene is ARSI.","Removes sulfate groups from chondroitin-4-sulfate (C4S) and regulates its degradation (PubMed:19306108). Involved in the regulation of cell adhesion, cell migration and invasion in colonic epithelium (PubMed:19306108). In the central nervous system, is a regulator of neurite outgrowth and neuronal plasticity, acting through the control of sulfate glycosaminoglycans and neurocan levels (By similarity).
                         ARSB_HUMAN,P15848
                         ","ENSG00000113273",411
"ASL","malic-acid","This gene encodes a member of the lyase 1 family. The encoded protein forms a cytosolic homotetramer and primarily catalyzes the reversible hydrolytic cleavage of argininosuccinate into arginine and fumarate, an essential step in the liver in detoxifying ammonia via the urea cycle. Mutations in this gene result in the autosomal recessive disorder argininosuccinic aciduria, or argininosuccinic acid lyase deficiency. A nontranscribed pseudogene is also located on the long arm of chromosome 22. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]","                                            ASL (Argininosuccinate Lyase) is a Protein Coding gene.                                            Diseases associated with ASL include Argininosuccinic Aciduria and Urea Cycle Disorder.                                            Among its related pathways are Arginine biosynthesis and Viral mRNA Translation.                                            Gene Ontology (GO) annotations related to this gene include argininosuccinate lyase activity.                                            An important paralog of this gene is ENSG00000249319.","no summary","ENSG00000126522",435
"ASPA","nervous","This gene encodes an enzyme that catalyzes the conversion of N-acetyl_L-aspartic acid (NAA) to aspartate and acetate. NAA is abundant in the brain where hydrolysis by aspartoacylase is thought to help maintain white matter. This protein is an NAA scavenger in other tissues. Mutations in this gene cause Canavan disease. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2008]","                                            ASPA (Aspartoacylase) is a Protein Coding gene.                                            Diseases associated with ASPA include Canavan Disease and Leukodystrophy.                                            Among its related pathways are Histidine metabolism and Viral mRNA Translation.                                            Gene Ontology (GO) annotations related to this gene include hydrolase activity, acting on ester bonds and aminoacylase activity.                                            An important paralog of this gene is ACY3.","Catalyzes the deacetylation of N-acetylaspartic acid (NAA) to produce acetate and L-aspartate. NAA occurs in high concentration in brain and its hydrolysis NAA plays a significant part in the maintenance of intact white matter. In other tissues it act as a scavenger of NAA from body fluids.
                         ACY2_HUMAN,P45381
                         ","ENSG00000108381",443
"ATG4A","col4a5","Autophagy is the process by which endogenous proteins and damaged organelles are destroyed intracellularly. Autophagy is postulated to be essential for cell homeostasis and cell remodeling during differentiation, metamorphosis, non-apoptotic cell death, and aging. Reduced levels of autophagy have been described in some malignant tumors, and a role for autophagy in controlling the unregulated cell growth linked to cancer has been proposed. This gene encodes a member of the autophagin protein family. The encoded protein is also designated as a member of the C-54 family of cysteine proteases. [provided by RefSeq, Mar 2016]","                                            ATG4A (Autophagy Related 4A Cysteine Peptidase) is a Protein Coding gene.                                            Diseases associated with ATG4A include Anus Benign Neoplasm.                                            Among its related pathways are Macroautophagy and Nanoparticle triggered autophagic cell death.                                            Gene Ontology (GO) annotations related to this gene include cysteine-type endopeptidase activity and cysteine-type peptidase activity.                                            An important paralog of this gene is ATG4B.","Cysteine protease required for the cytoplasm to vacuole transport (Cvt) and autophagy. Cleaves the C-terminal amino acid of ATG8 family proteins to reveal a C-terminal glycine. Exposure of the glycine at the C-terminus is essential for ATG8 proteins conjugation to phosphatidylethanolamine (PE) and insertion to membranes, which is necessary for autophagy. Preferred substrate is GABARAPL2 followed by MAP1LC3A and GABARAP. Has also an activity of delipidating enzyme for the PE-conjugated forms.
                         ATG4A_HUMAN,Q8WYN0
                         ","ENSG00000101844",115201
